0.001982159415607075
         12408993 function calls (12406377 primitive calls) in 4.465 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      142    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      142    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1099(create)
    142/2    0.000    0.000    0.110    0.055 <frozen importlib._bootstrap>:1122(_exec)
    26/25    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
    168/2    0.001    0.000    0.110    0.055 <frozen importlib._bootstrap>:1186(_load_unlocked)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
    142/2    0.000    0.000    0.110    0.055 <frozen importlib._bootstrap>:1465(exec_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
      142    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:1534(get_code)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
      142    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1621(get_data)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1631(path_stats)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
    23/22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1708(load_module)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
      356    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      170    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:192(acquire)
      170    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      311    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      173    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
    176/2    0.001    0.000    0.110    0.055 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    176/2    0.001    0.000    0.110    0.055 <frozen importlib._bootstrap>:2234(_find_and_load)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
  822/113    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap>:2264(_handle_fromlist)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2322(__import__)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:261(__enter__)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:268(__exit__)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
    223/2    0.000    0.000    0.109    0.055 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
